platform,base_url,lotteryId,cnname,name,totalProfit,totalPoint
摩登4tk,http://admin.mcpoker.net,1,重庆时时彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,2,广东11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,3,3D福彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,4,重庆11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,6,江西时时彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,7,江西11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,8,新疆时时彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,9,山东11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,10,亿万彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,11,WBG分分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,12,WBG秒秒彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,13,北京PK10,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,14,韩国1分5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,15,天津时时彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,16,上海时时乐,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,17,排列三,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,18,排列五,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,19,上海11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,20,安徽11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,21,江苏快3,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,22,河南快3,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,23,北京5分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,24,瑞典分分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,25,瑞典两分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,26,台湾5分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,27,黑龙江11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,28,四川快乐12,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,29,日本30秒,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,30,香港PK10,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,32,竞速赛车,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,33,摩登3D,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,34,摩登11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,35,摩登快三,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,36,悉尼5分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,37,腾讯分分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,38,湖北快3,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,39,吉林快3,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,40,安徽快3,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,41,河北11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,42,云南11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,43,河南快赢481,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,44,湖北11选5,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,45,香港六合彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,46,极速六合彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,47,QQ30秒,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,48,河内5分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,49,腾讯1分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,50,河内1分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,51,湖南快乐10分,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,52,多彩重庆30秒,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,53,多彩腾讯30秒,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,54,加拿大30秒,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,55,幸运飞艇,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,57,重庆时时彩(怀旧),1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,58,广东11选5(怀旧),1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,59,腾讯2分彩(单),1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,60,腾讯2分彩(双),1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,61,腾讯5分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,62,EOS分分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,65,EOS30秒,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,66,EOS5分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,67,私营腾讯分分彩,1900~1986,0.05,0.043
摩登4tk,http://admin.mcpoker.net,68,印尼5分彩,1900~1986,0.05,0.043    


